Date,Close/Last,Volume,Open,High,Low
11/29/2024,$14.52,9503512,$14.675,$14.7394,$14.50
11/27/2024,$14.64,14433870,$14.68,$14.75,$14.46
11/26/2024,$14.64,21625340,$14.79,$15.01,$14.605
11/25/2024,$14.92,31551810,$14.65,$15.125,$14.555
11/22/2024,$14.38,20237020,$14.22,$14.44,$14.085
11/21/2024,$14.20,20758560,$14.47,$14.575,$14.175
11/20/2024,$14.46,25407060,$14.18,$14.49,$14.00
11/19/2024,$14.33,25329910,$13.93,$14.40,$13.84
11/18/2024,$14.29,18771090,$14.39,$14.435,$14.03
11/15/2024,$14.39,22756500,$14.22,$14.40,$14.05
11/14/2024,$14.26,33149230,$14.22,$14.665,$14.175
11/13/2024,$14.01,30234710,$14.05,$14.55,$13.97
11/12/2024,$13.91,20437610,$13.975,$14.08,$13.73
11/11/2024,$14.16,22833300,$13.95,$14.16,$13.891
11/08/2024,$13.81,20259220,$13.69,$14.03,$13.67
11/07/2024,$13.62,19654580,$13.94,$14.00,$13.60
11/06/2024,$14.00,38602640,$14.01,$14.17,$13.795
11/05/2024,$13.19,19112850,$12.95,$13.22,$12.92
11/04/2024,$12.99,25654130,$13.50,$13.50,$12.96
11/01/2024,$13.54,22838330,$13.47,$13.66,$13.40
10/31/2024,$13.40,26340880,$13.79,$13.89,$13.38
10/30/2024,$13.94,22463480,$13.655,$13.99,$13.61
10/29/2024,$13.82,28711490,$13.38,$13.86,$13.28
10/28/2024,$13.60,37079190,$13.66,$13.85,$13.56
10/25/2024,$13.15,44350760,$12.94,$13.44,$12.75
10/24/2024,$12.78,65532890,$13.18,$13.63,$12.415
10/23/2024,$12.83,30252700,$12.85,$13.04,$12.66
10/22/2024,$12.96,24163080,$12.93,$13.03,$12.615
10/21/2024,$12.97,27952580,$12.98,$13.10,$12.775
10/18/2024,$13.09,38307270,$12.86,$13.24,$12.76
10/17/2024,$12.81,30152400,$12.865,$12.97,$12.67
10/16/2024,$12.89,53137610,$12.19,$12.92,$12.14
10/15/2024,$12.03,36494710,$12.12,$12.47,$12.00
10/14/2024,$11.87,20610480,$11.85,$11.9476,$11.70
10/11/2024,$11.79,17697970,$11.72,$11.82,$11.53
10/10/2024,$11.76,26494580,$11.77,$12.00,$11.65
10/09/2024,$11.93,34210670,$12.01,$12.25,$11.8732
10/08/2024,$11.92,44740030,$11.65,$12.12,$11.63
10/07/2024,$11.53,27611000,$11.55,$11.6785,$11.373
10/04/2024,$11.51,53747480,$11.36,$11.97,$11.29
10/03/2024,$10.82,32925550,$10.69,$10.94,$10.565
10/02/2024,$10.74,28779650,$10.73,$10.86,$10.605
10/01/2024,$10.90,42847420,$11.27,$11.33,$10.82
09/30/2024,$11.24,26735890,$11.47,$11.58,$11.20
09/27/2024,$11.56,30783830,$11.82,$11.86,$11.56
09/26/2024,$11.79,62353460,$11.36,$11.98,$11.35
09/25/2024,$11.00,29157140,$11.06,$11.175,$10.97
09/24/2024,$11.04,29446480,$11.02,$11.19,$10.92
09/23/2024,$10.98,30785060,$11.00,$11.03,$10.76
09/20/2024,$11.01,165832100,$11.07,$11.12,$10.88
09/19/2024,$11.11,34544390,$11.32,$11.39,$11.06
09/18/2024,$11.03,37396520,$11.24,$11.285,$10.92
09/17/2024,$11.17,38180030,$10.99,$11.26,$10.95
09/16/2024,$10.81,31026820,$10.649,$10.87,$10.62
09/13/2024,$10.69,36956040,$10.98,$11.18,$10.61
09/12/2024,$10.88,37878400,$11.03,$11.135,$10.43
09/11/2024,$10.77,40526830,$10.95,$11.01,$10.485
09/10/2024,$10.99,31767720,$11.21,$11.25,$10.87
09/09/2024,$11.22,44496160,$10.85,$11.225,$10.85
09/06/2024,$10.80,27842830,$10.78,$11.10,$10.70
09/05/2024,$10.80,38467280,$10.84,$11.16,$10.75
09/04/2024,$10.63,22112960,$10.53,$10.78,$10.5035
09/03/2024,$10.60,23374790,$10.52,$10.74,$10.495
08/30/2024,$10.62,26521350,$10.49,$10.89,$10.48
08/29/2024,$10.39,22240130,$10.24,$10.51,$10.21
08/28/2024,$10.15,20533790,$10.17,$10.21,$10.04
08/27/2024,$10.17,23303070,$10.26,$10.27,$9.98
08/26/2024,$10.21,21028270,$10.43,$10.445,$10.20
08/23/2024,$10.39,24640040,$10.23,$10.50,$10.17
08/22/2024,$10.14,25624750,$10.41,$10.54,$10.13
08/21/2024,$10.40,20233670,$10.37,$10.445,$10.30
08/20/2024,$10.29,23537370,$10.31,$10.45,$10.21
08/19/2024,$10.31,30380140,$10.155,$10.38,$10.115
08/16/2024,$10.05,35389740,$10.02,$10.14,$9.97
08/15/2024,$10.09,32307260,$9.96,$10.16,$9.95
08/14/2024,$9.74,29574720,$9.88,$9.97,$9.70
08/13/2024,$9.81,29921950,$9.64,$9.82,$9.555
08/12/2024,$9.61,29791190,$9.79,$9.80,$9.59
08/09/2024,$9.86,22614760,$9.89,$9.96,$9.72
08/08/2024,$9.89,34701760,$9.35,$9.91,$9.35
08/07/2024,$9.26,29020910,$9.40,$9.52,$9.21
08/06/2024,$9.31,28905920,$9.46,$9.53,$9.22
08/05/2024,$9.28,44554500,$9.10,$9.59,$9.07
08/02/2024,$9.63,48427170,$9.93,$9.93,$9.59
08/01/2024,$10.14,47149620,$10.65,$10.68,$10.09
07/31/2024,$10.64,39205400,$10.65,$11.03,$10.58
07/30/2024,$10.76,52969480,$10.46,$10.93,$10.46
07/29/2024,$10.43,30164470,$10.56,$10.72,$10.37
07/26/2024,$10.62,45684500,$10.70,$10.755,$10.2147
07/25/2024,$10.60,96280850,$9.92,$10.90,$9.755
07/24/2024,$10.17,47312030,$10.45,$10.54,$10.12
07/23/2024,$10.48,30548010,$10.63,$10.74,$10.47
07/22/2024,$10.69,38897190,$10.49,$10.74,$10.35
07/19/2024,$10.58,25697310,$10.63,$10.65,$10.43
07/18/2024,$10.62,46855150,$10.96,$11.09,$10.61
07/17/2024,$11.01,32356210,$10.99,$11.11,$10.835
07/16/2024,$11.19,48708680,$10.65,$11.24,$10.65
07/15/2024,$10.63,28634170,$10.67,$10.77,$10.56
07/12/2024,$10.68,33133080,$10.71,$10.80,$10.57
07/11/2024,$10.73,80291530,$10.68,$10.76,$10.34
07/10/2024,$11.15,28502020,$11.04,$11.22,$10.994
07/09/2024,$10.98,26604770,$10.96,$11.09,$10.87
07/08/2024,$10.93,32261690,$11.08,$11.13,$10.91
07/05/2024,$11.04,24396040,$11.13,$11.19,$10.98
07/03/2024,$11.12,16150150,$11.16,$11.22,$11.07
07/02/2024,$11.05,22487900,$11.06,$11.11,$10.95
07/01/2024,$11.04,28624270,$11.33,$11.41,$11.00
06/28/2024,$11.33,28121100,$11.24,$11.36,$11.20
06/27/2024,$11.28,23780790,$11.12,$11.32,$11.02
06/26/2024,$11.12,39848720,$11.05,$11.33,$10.96
06/25/2024,$11.13,28547270,$11.18,$11.365,$11.12
06/24/2024,$11.16,25666440,$11.22,$11.34,$11.15
06/21/2024,$11.20,28098080,$11.215,$11.34,$11.11
06/20/2024,$11.24,21364430,$11.30,$11.31,$11.19
06/18/2024,$11.28,18841480,$11.41,$11.50,$11.27
06/17/2024,$11.44,30074130,$11.22,$11.4887,$11.21
06/14/2024,$11.28,42272470,$11.32,$11.36,$11.09
06/13/2024,$11.44,33289950,$11.45,$11.47,$11.22
06/12/2024,$11.50,40769750,$11.40,$11.685,$11.39
06/11/2024,$11.28,25439680,$11.41,$11.45,$11.26
06/10/2024,$11.49,23421040,$11.43,$11.57,$11.37
06/07/2024,$11.50,29411430,$11.36,$11.565,$11.35
06/06/2024,$11.43,35840570,$11.58,$11.73,$11.315
06/05/2024,$11.62,34340910,$11.51,$11.765,$11.45
06/04/2024,$11.50,39161530,$11.54,$11.79,$11.48
06/03/2024,$11.53,52899040,$11.60,$11.945,$11.50
05/31/2024,$11.50,60868410,$11.51,$11.57,$11.25
