Date,Close/Last,Volume,Open,High,Low
11/22/2024,$31.97 ,5942632,$31.86 ,$32.14 ,$31.68 
11/21/2024,$31.79 ,5153470,$31.74 ,$32.24 ,$31.61 
11/20/2024,$31.77 ,6452738,$32.24 ,$32.32 ,$31.45 
11/19/2024,$32.36 ,4246303,$31.92 ,$32.56 ,$31.75 
11/18/2024,$32.33 ,6988935,$32.60 ,$32.78 ,$32.03 
11/15/2024,$32.60 ,6251441,$32.25 ,$32.66 ,$31.76 
11/14/2024,$32.42 ,6263497,$32.55 ,$33.08 ,$32.29 
11/13/2024,$32.38 ,7172302,$31.88 ,$33.15 ,$31.88 
11/12/2024,$32.03 ,6546336,$32.22 ,$32.54 ,$31.55 
11/11/2024,$32.65 ,7113719,$31.90 ,$32.94 ,$31.70 
11/8/2024,$31.78 ,4071176,$31.37 ,$31.88 ,$31.25 
11/7/2024,$31.26 ,5654491,$31.16 ,$31.60 ,$31.05 
11/6/2024,$31.39 ,8178367,$31.48 ,$31.90 ,$30.99 
11/5/2024,$30.63 ,5793371,$29.96 ,$30.64 ,$29.93 
11/4/2024,$29.91 ,5578327,$30.55 ,$30.84 ,$29.90 
11/1/2024,$30.61 ,6158239,$30.74 ,$31.04 ,$30.53 
10/31/2024,$30.58 ,6560994,$31.47 ,$31.68 ,$30.51 
10/30/2024,$31.47 ,7542722,$31.09 ,$31.84 ,$31.06 
10/29/2024,$31.03 ,9444744,$30.03 ,$31.15 ,$29.82 
10/28/2024,$30.30 ,13045890,$29.94 ,$30.44 ,$29.45 
10/25/2024,$29.43 ,9321783,$29.37 ,$29.64 ,$29.13 
10/24/2024,$29.02 ,16801810,$30.55 ,$30.76 ,$28.58 
10/23/2024,$30.73 ,6682966,$30.46 ,$30.79 ,$30.28 
10/22/2024,$30.49 ,9247065,$30.37 ,$30.75 ,$30.02 
10/21/2024,$30.44 ,7617858,$30.57 ,$30.79 ,$30.17 
10/18/2024,$30.98 ,8078853,$30.18 ,$31.18 ,$29.95 
10/17/2024,$30.09 ,7514983,$30.83 ,$30.83 ,$29.99 
10/16/2024,$30.91 ,6313296,$30.65 ,$31.24 ,$30.52 
10/15/2024,$30.49 ,5410110,$31.00 ,$31.15 ,$30.44 
10/14/2024,$30.37 ,5805589,$30.75 ,$30.85 ,$29.97 
10/11/2024,$30.62 ,4451525,$30.04 ,$30.74 ,$29.97 
10/10/2024,$30.36 ,4603714,$30.04 ,$30.80 ,$30.01 
10/9/2024,$30.64 ,6665806,$31.00 ,$31.38 ,$30.51 
10/8/2024,$30.67 ,7657653,$31.34 ,$31.59 ,$30.49 
10/7/2024,$31.04 ,5292468,$31.16 ,$31.37 ,$30.75 
10/4/2024,$31.25 ,9567390,$31.45 ,$32.20 ,$30.95 
10/3/2024,$30.51 ,10322120,$30.08 ,$30.95 ,$30.02 
10/2/2024,$29.57 ,7088659,$29.61 ,$29.65 ,$29.16 
10/1/2024,$29.88 ,9465927,$29.55 ,$30.21 ,$29.05 
9/30/2024,$29.63 ,9593722,$29.52 ,$29.95 ,$29.40 
9/27/2024,$29.53 ,11657610,$30.21 ,$30.60 ,$29.45 
9/26/2024,$29.93 ,27607950,$30.24 ,$31.64 ,$29.74 
9/25/2024,$28.39 ,10392640,$29.75 ,$30.25 ,$28.36 
9/24/2024,$29.75 ,9022845,$29.80 ,$30.46 ,$29.56 
9/23/2024,$29.63 ,6696653,$29.05 ,$29.79 ,$28.83 
9/20/2024,$29.04 ,6532700,$29.01 ,$29.42 ,$28.70 
9/19/2024,$28.94 ,5736342,$29.26 ,$29.40 ,$28.83 
9/18/2024,$28.90 ,8617856,$28.59 ,$29.17 ,$28.38 
9/17/2024,$28.44 ,7269073,$28.75 ,$28.98 ,$28.18 
9/16/2024,$28.54 ,4349981,$28.65 ,$28.86 ,$28.37 
9/13/2024,$28.68 ,6012254,$28.99 ,$29.33 ,$28.65 
9/12/2024,$28.87 ,7682061,$29.30 ,$29.40 ,$28.32 
9/11/2024,$28.81 ,8536698,$29.39 ,$29.39 ,$28.21 
9/10/2024,$29.25 ,7386926,$29.76 ,$29.77 ,$28.25 
9/9/2024,$29.73 ,10258240,$29.90 ,$30.15 ,$29.38 
9/6/2024,$29.70 ,8500123,$29.81 ,$30.38 ,$29.43 
9/5/2024,$29.81 ,7387359,$29.79 ,$30.52 ,$29.62 
9/4/2024,$29.51 ,6061124,$29.38 ,$29.90 ,$29.29 
9/3/2024,$29.58 ,9814066,$29.51 ,$29.88 ,$29.21 
8/30/2024,$28.92 ,6022933,$28.93 ,$29.45 ,$28.84 
8/29/2024,$28.74 ,5303318,$28.88 ,$29.06 ,$28.65 
8/28/2024,$28.68 ,7243206,$28.96 ,$29.29 ,$28.26 
8/27/2024,$29.11 ,11681530,$28.30 ,$29.36 ,$27.99 
8/26/2024,$28.20 ,9143597,$28.20 ,$28.37 ,$27.98 
8/23/2024,$28.18 ,15426590,$27.15 ,$28.36 ,$27.04 
8/22/2024,$26.93 ,9083479,$26.75 ,$27.19 ,$26.56 
8/21/2024,$26.58 ,12040000,$26.73 ,$26.76 ,$26.42 
8/20/2024,$26.52 ,13967100,$26.79 ,$26.86 ,$26.46 
8/19/2024,$26.73 ,7598030,$26.38 ,$26.88 ,$26.38 
8/16/2024,$26.33 ,6910612,$26.41 ,$26.62 ,$26.15 
8/15/2024,$26.54 ,10219310,$25.79 ,$26.55 ,$25.78 
8/14/2024,$25.38 ,8199024,$25.50 ,$25.66 ,$25.17 
8/13/2024,$25.42 ,10654100,$25.62 ,$25.76 ,$25.32 
8/12/2024,$25.38 ,18995880,$25.30 ,$25.87 ,$25.30 
8/9/2024,$25.33 ,17826560,$25.20 ,$25.41 ,$25.02 
8/8/2024,$25.22 ,10921510,$24.56 ,$25.31 ,$24.53 
8/7/2024,$24.32 ,8399661,$24.62 ,$25.04 ,$24.29 
8/6/2024,$24.34 ,9371076,$24.08 ,$24.73 ,$23.87 
8/5/2024,$23.70 ,15482930,$23.77 ,$24.47 ,$23.58 
