Date,Numbers
4/14/2020,"113,147"
4/21/2020,"114,969"
4/15/2020,"115,294"
4/12/2020,"116,399"
4/16/2020,"119,067"
4/18/2020,"119,121"
4/11/2020,"119,155"
4/22/2020,"121,886"
4/20/2020,"123,081"
4/8/2020,"123,522"
4/7/2020,"126,847"
4/19/2020,"128,831"
4/13/2020,"129,582"
4/25/2020,"130,319"
4/17/2020,"130,512"
4/9/2020,"132,378"
4/28/2020,"133,570"
4/23/2020,"135,267"
4/10/2020,"137,131"
4/6/2020,"142,138"
4/29/2020,"142,801"
4/27/2020,"143,129"
4/24/2020,"147,394"
5/5/2020,"149,037"
4/26/2020,"151,489"
4/4/2020,"151,716"
5/2/2020,"154,946"
4/5/2020,"156,759"
5/6/2020,"159,615"
4/2/2020,"160,826"
4/3/2020,"166,046"
4/1/2020,"176,239"
4/30/2020,"179,226"
5/12/2020,"181,660"
5/4/2020,"185,877"
5/9/2020,"187,868"
3/31/2020,"190,163"
5/3/2020,"192,411"
5/1/2020,"197,509"
3/30/2020,"197,539"
5/13/2020,"199,090"
5/19/2020,"209,801"
5/7/2020,"211,459"
5/16/2020,"213,026"
5/10/2020,"220,928"
3/29/2020,"223,165"
3/28/2020,"226,850"
5/8/2020,"236,617"
5/11/2020,"236,767"
3/27/2020,"244,702"
5/20/2020,"251,460"
3/26/2020,"252,039"
5/14/2020,"256,056"
5/18/2020,"267,220"
5/15/2020,"272,250"
5/23/2020,"273,131"
5/17/2020,"276,409"
5/27/2020,"283,387"
5/26/2020,"286,142"
3/25/2020,"288,459"
6/2/2020,"289,197"
5/24/2020,"289,435"
5/30/2020,"292,702"
6/3/2020,"326,891"
3/24/2020,"330,808"
5/21/2020,"342,995"
5/28/2020,"345,958"
5/29/2020,"352,970"
6/9/2020,"363,854"
5/25/2020,"364,592"
5/22/2020,"373,069"
6/6/2020,"376,823"
5/31/2020,"377,409"
6/1/2020,"379,146"
3/23/2020,"388,154"
6/10/2020,"413,090"
6/4/2020,"418,820"
6/16/2020,"444,922"
6/5/2020,"446,140"
6/8/2020,"458,552"
6/13/2020,"463,244"
6/7/2020,"468,465"
6/17/2020,"469,224"
7/4/2020,"495,309"
6/23/2020,"499,884"
1/26/2021,"508,467"
3/22/2020,"510,881"
6/24/2020,"525,061"
6/30/2020,"530,448"
6/11/2020,"531,092"
2/2/2021,"532,690"
6/20/2020,"536,012"
